ID,techName,name,type,responsible,masterLanguage,masterSystem,description,version,changedAt,changedBy,createdAt,createdBy,parent_ID
7d5a71df-8a29-4c43-95de-4c84dc769efc,ZCSM_SPACE_MATRX,ZCSM_SPACE_MATRX,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
1dda47c2-0970-4169-95a4-4b8c98695239,ZCATS_CAT2_SEARCH,ZCATS_CAT2_SEARCH,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
0d88d34a-f920-4475-834d-1480dfdebb2b,ZZSOURCE,ZZSOURCE,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
75a15d06-b1b9-4d03-9d6b-4acaaf083eaf,ZCSM_SRVC_CATLOG,ZCSM_SRVC_CATLOG,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
717cdfec-6670-47c4-a5c5-5a3b0d199175,ZCATS_CELL,ZCATS_CELL,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
74ff6d31-04c9-4639-9c12-e1e2e26cc167,ZCATTSTART,ZCATTSTART,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
e0a04c50-7fe1-4e05-8660-257d05c14794,ZCSM_SPACE_MATRX_TT,ZCSM_SPACE_MATRX_TT,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
2ef3f028-d4c0-45c1-8941-716fee45e712,ZCATS_OBJ,ZCATS_OBJ,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
81268e57-b7c2-4dee-a199-15bca3b56f77,ZCOPYFIP,ZCOPYFIP,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
8b98d988-9ef8-4a57-ba44-003162cdc304,ZCSM_SRVC_CATLOG_T,ZCSM_SRVC_CATLOG_T,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
643b6cf1-cd62-443f-b1b0-2f555d4f9815,ZDCATS_CELL,ZDCATS_CELL,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
dbf04ae9-96dd-485b-8e08-66f2b08cfafa,ZFEBKAM0,ZFEBKAM0,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
cce8b047-b508-40c3-b125-fbc6b0858257,ZCSM_SRVC_MOVEPLAN_TT,ZCSM_SRVC_MOVEPLAN_TT,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
c7e6b556-e1d3-4211-b4d8-4a29902a4888,ZDCATS_OBJ,ZDCATS_OBJ,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
19c091ab-7ba6-403c-9012-82d01c659b84,ZCE_ADDL_FIELDS,ZCE_ADDL_FIELDS,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
2052f789-9135-4f33-a965-71bc0b7d8789,ZLISDG01,ZLISDG01,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
fee45e84-94e9-4559-897d-a9ccd6838a0e,ZCAT2_CLIENTDIS,ZCAT2_CLIENTDIS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
3eab2c91-0793-4edb-b944-06a9fdfe4de0,ZCSM_QY_REBPHROO_S,ZCSM_QY_REBPHROO_S,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
607a0ac5-5509-41fc-bd11-98a87e911a9a,ZLISPP01,ZLISPP01,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
7003231c-794c-4e4e-89d3-4db26f496897,ZCAT2_MATDESCDIS,ZCAT2_MATDESCDIS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
05cecc0e-fb6b-4be7-a921-670ef10bee70,ZCSM_SRVC_MOVEPLAN,ZCSM_SRVC_MOVEPLAN,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
a7f81317-6286-4ac8-9ce4-dbe0569ad8fc,ZMCFILE0,ZMCFILE0,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
577b36d7-0107-4ccc-baf9-bdba01c5a150,ZCAT2_MATDIS,ZCAT2_MATDIS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
26a830ea-2d0b-420c-8691-bfeb59081d42,ZCSM_SRVC_ORDERS,ZCSM_SRVC_ORDERS,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
d8f3a554-2dea-4fbe-b260-12c9dd839325,ZMCMETCR,ZMCMETCR,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
5e1c7d92-8e58-4ca8-a7d7-aeffc7baf95c,ZCAT2_MATTER,ZCAT2_MATTER,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
cb909040-e784-4499-91c5-7d3d6c208f94,ZCSM_ACTIVITY_LOCATION,ZCSM_ACTIVITY_LOCATION,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
cea529e1-c521-42d9-8305-cf1ceb9ab1ee,ZMCMETH0,ZMCMETH0,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
e45482fc-4cf5-424e-91dc-3c3b4f26115d,ZCAT2_WRKDIS,ZCAT2_WRKDIS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
16157227-aa7f-4814-b1fa-8fc34eab0bbe,ZCSM_BUSINESS_UNIT,ZCSM_BUSINESS_UNIT,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
1b440ce7-e34c-4081-9e8b-49a3787bf773,ZMCMETH1,ZMCMETH1,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
4a00e0e8-b1e5-4cfa-904f-cc136c5eda71,ZCATSHOURS,ZCATSHOURS,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
dfa5dec5-f882-45fb-8a6d-5d83efc51668,ZCSM_CALL_CENTER,ZCSM_CALL_CENTER,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
03b3c82e-0f79-4b5a-8da0-bf0e64cac620,ZMMC0001,ZMMC0001,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
0832e0b9-2907-4159-a701-0298a0107c6b,ZCFS,ZCFS,DEVC/K,C5146140,EN,EC3,Package - Customer Fact Sheet,active,2015-05-20T22:00:00Z,C5146140,2015-05-20T22:00:00Z,C5146140,d7b3bd60-8e0c-4f70-9dd7-3c33413140fa
e1e2e2cb-f291-4a48-8031-9c1e4f7e5112,ZCRMT_REPORT_DYN_SQL_LINE,ZCRMT_REPORT_DYN_SQL_LINE,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
c40006bc-ecbe-4e6c-b5f3-1ad65f825e53,ZIWCI_CFS_PDF,ZIWCI_CFS_PDF,DEVC/K,,,,,active,,,,,0832e0b9-2907-4159-a701-0298a0107c6b
853d3e96-eeee-4a7d-b975-955d7e397201,ZSK00004,ZSK00004,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
43326235-bec8-4274-9471-2bb7afc1ce03,ZCSM_CONTRACTOR,ZCSM_CONTRACTOR,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
128f1c34-0778-4bad-95d6-12b2252c3e6e,ZEKDPO,ZEKDPO,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
c875e704-20e2-421a-b694-75348b82abf6,ZCFS_PDF,ZCFS_PDF,DEVC/K,,,,,active,,,,,0832e0b9-2907-4159-a701-0298a0107c6b
4d1fdb3d-69ce-42f0-8bbb-93b638f4c770,ZSK0207A,ZSK0207A,DEVC/K,,,,,active,,,,,60bfbc80-df65-4fbe-8edf-1a805c16d05a
7886c8dd-0d4f-4ea0-81c6-5263f6c98c50,ZCSM_DIST_CODE,ZCSM_DIST_CODE,DEVC/K,,,,,active,,,,,ad4a8b42-b09e-4b29-af51-8680cb0aacdb
a319de6f-ee5d-4730-b34d-6c5f36e5a26f,ZLOC,ZLOC,DEVC/K,,,,,active,,,,,2c47dd81-597a-4668-8e28-a496c9853e9a
