ID,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,DESCRIPTION_TEXT_LIMIT,SOURCE_CODE,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
3ba3f2fa-a2ab-4ce0-964f-610eb8a96a35,false,executableProgram,,true,true,,,ZSKTDEVC_Z,PROG/P,KLOSES,DE,EC3,zsktdevc_Z,active,2016-09-02T20:23:16Z,KLOSES,1998-02-04T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
bfc72859-1f0e-4e7d-bb73-274d9c5bed23,false,executableProgram,,true,true,,,ZSKTEST3,PROG/P,KLOSES,DE,EC3,test,active,2016-09-02T20:23:16Z,,1997-02-02T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
dcf5ddf7-fa67-4422-828d-0dd353217036,false,executableProgram,,true,true,,,ZSKTRAN1,PROG/P,KLOSES,DE,EC3,transview logfile übertragen,active,2016-09-02T20:23:17Z,C5056040,1997-03-02T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
96d2d0df-6aae-4222-a7ec-ccf0703d0abd,false,executableProgram,SAPStandardProduction,false,true,,,ZSKTRANS,PROG/P,KLOSE,DE,EC3,Suche nach Objekten einer Entwicklungsklasse in Aufgaben und Aufträgen,active,2016-09-02T20:23:17Z,C5056040,1997-02-02T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
c30a03a8-2168-41c1-89ea-cb320b5bd18b,false,executableProgram,,true,true,,,ZSKTREE1,PROG/P,KLOSES,DE,EC3,"system relations, neue Einträge mit se16 in tab. zsktree erfassen!",active,2016-09-02T20:23:17Z,KLOSES,1997-03-05T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
d6f73db5-ac98-4904-92f8-8a0e5924feff,false,executableProgram,,true,true,,,ZSKTTRFC,PROG/P,KLOSES,DE,EC3,Transactions,active,2016-09-02T20:23:17Z,KLOSES,1997-02-02T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
d2f7bd70-c2f1-4338-a196-62f2fccf350d,false,executableProgram,,true,true,,,ZSKTTXVR,PROG/P,KLOSES,DE,EC3,TTXVR bereinigen,active,2016-09-02T20:23:17Z,KLOSES,1998-04-22T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
5bf5ef74-89da-495e-8298-ab2fadafadce,false,executableProgram,,true,true,,,ZSKUNLOCK,PROG/P,KLOSES,DE,EC3,unlocl all users,active,2016-09-02T20:23:17Z,KLOSES,1998-03-28T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
0310c4da-1708-408b-84f4-a6a8eaff4f4d,false,executableProgram,,true,true,,,ZSKUPGR1,PROG/P,KLOSES,DE,EC3,upgrade e070 auf r,active,2016-09-02T20:23:17Z,KLOSES,1997-04-01T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
0fd094cb-faec-43bb-88c1-54a2b4e65d7c,false,executableProgram,,true,true,,,ZSKUSR02,PROG/P,KLOSES,DE,EC3,zskusr02,active,2016-09-02T20:23:17Z,KLOSES,1998-07-17T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
9fb18c52-0354-4e8f-9ae6-20a2dd8fa75b,false,executableProgram,,true,true,,,ZSKUSR03,PROG/P,D022239,DE,EC3,get usr03,active,2016-09-02T20:23:17Z,KLOSES,1998-01-29T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
9408be98-a4ae-4ae3-9bc8-2f8278a27480,false,executableProgram,,true,true,,,ZSKUSRCTL,PROG/P,KLOSES,DE,EC3,zskc,active,2016-09-02T20:23:17Z,KLOSES,1998-02-19T00:00:00Z,,9c7c9c17-e01f-4498-84f5-f230bed481c7
