TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,LOCKED_BY_EDITOR,PROGRAM_TYPE,SOURCE_OBJECT_STATUS,FIX_POINT_ARITHMETIC,ACTIVE_UNICODE_CHECK,PARENT
ZAH_LIST_HEADINGS,ZAH_LIST_HEADINGS,PROG/P,HERRMANNSPAH,DE,DE,EC3,Sprachabhängige dynamische Überschriften und Quickinfos,active,2016-09-02T20:16:19Z,HERRMANNSPAH,2005-06-06T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_SCROLL_LIST,ZAH_SCROLL_LIST,PROG/P,HERRMANNSPAH,DE,DE,EC3,Horizontales Blättern durch Liste,active,2016-09-02T20:16:21Z,HERRMANNSPAH,2005-06-06T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_SUBQUERY,ZAH_SUBQUERY,PROG/P,HERRMANNSPAH,DE,DE,EC3,Subquery-Demo stufenweise,active,2016-09-02T20:16:23Z,HERRMANNSPAH,2005-06-14T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_ALV,ZAH_ALV,PROG/P,HERRMANNSPAH,DE,DE,EC3,ALV und klassische Liste,active,2016-09-02T20:16:14Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
ZAH_FREITAG_LSG,ZAH_FREITAG_LSG,PROG/P,HERRMANNSPAH,DE,DE,EC3,"Programm ohne ""Schönheitsfehler""",active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
ZAH_BEINAHE_GUT,ZAH_BEINAHE_GUT,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm mit leichten Fehlern,active,2016-09-02T20:16:15Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_GUT,ZAH_GUT,PROG/P,HERRMANNSPAH,DE,DE,EC3,Korrigiertes Programm,active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_FREITAG_VORLAGE,ZAH_FREITAG_VORLAGE,PROG/P,HERRMANNSPAH,DE,DE,EC3,"Programm mit ""Schönheitsfehlern""",active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
ZAH_SEL_ON_DYNPRO,ZAH_SEL_ON_DYNPRO,PROG/P,HERRMANNSPAH,DE,DE,EC3,Selektionsbild auf Dynpro,active,2016-09-02T20:16:21Z,HERRMANNSPAH,2001-12-28T00:00:00Z,,false,executableProgram,,true,true,Root
ZAH_ITAB1_LSG,ZAH_ITAB1_LSG,PROG/P,HERRMANNSPAH,DE,DE,EC3,Korrigierte Fassung für Wiederholung am Mittwoch,active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
ZAH_ITAB1_VORLAGE,ZAH_ITAB1_VORLAGE,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm mit leichten Fehlern,active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
ZAH_ITAB2_LSG,ZAH_ITAB2_LSG,PROG/P,HERRMANNSPAH,DE,DE,EC3,Korrigierte Fassung für Wiederholung am Mittwoch,active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
ZAH_ITAB2_VORLAGE,ZAH_ITAB2_VORLAGE,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm mit leichten Fehlern,active,2016-09-02T20:16:18Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
SAPMZAH_BOOKINGS01,SAPMZAH_BOOKINGS01,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:09Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_LISTE,ZAH_LISTE,PROG/P,HERRMANNSPAH,DE,DE,EC3,Demo: Liste,active,2016-09-02T20:16:19Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
SAPMZAH_BOOKINGS02,SAPMZAH_BOOKINGS02,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:10Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_STRUKTUR,ZAH_STRUKTUR,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_STRUKTUR,active,2016-09-02T20:16:22Z,HERRMANNSPAH,2002-02-20T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
SAPMZAH_BOOKINGS03,SAPMZAH_BOOKINGS03,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:10Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_SUB,ZAH_SUB,PROG/P,HERRMANNSPAH,DE,DE,EC3,Programm ZAH_SUB,active,2016-09-02T20:16:22Z,HERRMANNSPAH,2002-02-20T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
SAPMZAH_BOOKINGS04,SAPMZAH_BOOKINGS04,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:10Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_SUB_VORLAGE,ZAH_SUB_VORLAGE,PROG/P,HERRMANNSPAH,DE,DE,EC3,Demo: Unterprogramme,active,2016-09-02T20:16:23Z,HERRMANNSPAH,2008-07-16T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
SAPMZAH_BOOKINGS05,SAPMZAH_BOOKINGS05,PROG/P,HERRMANNSPAH,DE,EN,EC3,BC414: Creating Change Documents,active,2016-09-02T20:11:12Z,HERRMANNSPAH,2004-03-26T00:00:00Z,,false,modulePool,,true,true,Root
ZAH_WDH_SELECT_LSG,ZAH_WDH_SELECT_LSG,PROG/P,HERRMANNSPAH,DE,EN,EC3,Good Database Access,active,2016-09-02T20:16:23Z,HERRMANNSPAH,2001-09-24T00:00:00Z,,false,executableProgram,,true,true,ZAH_BC400
