OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
DEVC/K,ZDATANGO,ZDATANGO,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDATANGO,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDATANGO,X
DEVC/K,ZDAV,ZDAV,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDAV,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDAV,X
DEVC/K,ZDBR37318,ZDBR37318,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR37318,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR37318,X
DEVC/K,ZDBR37801,ZDBR37801,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR37801,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR37801,X
DEVC/K,ZDBR38496,ZDBR38496,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR38496,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR38496,X
DEVC/K,ZDBR39200,ZDBR39200,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR39200,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR39200,X
DEVC/K,ZDBR40674,ZDBR40674,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR40674,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR40674,X
DEVC/K,ZDBR41545,ZDBR41545,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR41545,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR41545,X
DEVC/K,ZDBR41873,ZDBR41873,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR41873,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR41873,X
DEVC/K,ZDBR43134,ZDBR43134,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR43134,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR43134,X
DEVC/K,ZDBR43134_NEW,ZDBR43134_NEW,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR43134_NEW,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR43134_NEW,X
DEVC/K,ZDBR48189,ZDBR48189,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR48189,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR48189,X
DEVC/K,ZDBR53542,ZDBR53542,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR53542,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR53542,X
DEVC/K,ZDBR9193,ZDBR9193,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR9193,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR9193,X
DEVC/K,ZDBR_13118,ZDBR_13118,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_13118,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_13118,X
DEVC/K,ZDBR_13281,ZDBR_13281,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_13281,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_13281,X
DEVC/K,ZDBR_18576,ZDBR_18576,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_18576,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_18576,X
DEVC/K,ZDBR_39641,ZDBR_39641,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_39641,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_39641,X
DEVC/K,ZDBR_42815,ZDBR_42815,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_42815,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_42815,X
DEVC/K,ZDBR_47691,ZDBR_47691,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_47691,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_47691,X
DEVC/K,ZDBR_47792,ZDBR_47792,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_47792,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_47792,X
DEVC/K,ZDBR_50035,ZDBR_50035,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_50035,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_50035,X
DEVC/K,ZDBR_CPQ_HYB,ZDBR_CPQ_HYB,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_CPQ_HYB,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_CPQ_HYB,X
DEVC/K,ZDBR_MM,ZDBR_MM,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_MM,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_MM,X
DEVC/K,ZDBR_TFL,ZDBR_TFL,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_TFL,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDBR_TFL,X
DEVC/K,ZDC_U_CHANGE,ZDC_U_CHANGE,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDC_U_CHANGE,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDC_U_CHANGE,X
DEVC/K,ZDELPHI,ZDELPHI,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDELPHI,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDELPHI,X
DEVC/K,ZDELPHI_CONSOLIDATION,ZDELPHI_CONSOLIDATION,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDELPHI_CONSOLIDATION,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDELPHI_CONSOLIDATION,X
DEVC/K,ZDEMO,ZDEMO,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO,X
DEVC/K,ZDEMO_EXP_RFC,ZDEMO_EXP_RFC,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_EXP_RFC,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_EXP_RFC,X
DEVC/K,ZDEMO_IBS_CH,ZDEMO_IBS_CH,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_IBS_CH,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_IBS_CH,X
DEVC/K,ZDEMO_MAP,ZDEMO_MAP,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_MAP,/sap/bc/adt/vit/wb/object_type/devck/object_name/ZDEMO_MAP,X
