ID,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
1ebd2444-178c-4696-9c86-0d50f322a1dd,ZT_PLM150_03_ENGL,SCAT/GT,BURMANM,DE,F35,PLM150,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
b25167b2-ea71-4041-8595-1b9493e8791c,ZT_PLM400,SCAT/GT,BURMANM,DE,EC3,PLM400        Quality Management,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
4d42ec1a-d847-4dba-8bb9-9dbb966fdf25,ZT_PLM400_01,SCAT/GT,BURMANM,DE,EC3,PLM400           4.7     master data CATT,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
1b4df653-fee7-448a-bfa7-c08c8f30fbdf,ZT_PLM400_02,SCAT/GT,BURMANM,DE,EC3,PLM400    CATT for the teach system,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d5d5b9ca-14e5-4cc3-81ef-f7b6219469a1,ZT_PLM400_02_TEST,SCAT/GT,BURMANM,DE,EC3,PLM400    CATT for the teach system,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
07ad37ac-1a02-4a2e-831d-270291e32b2e,ZT_PLM400_ENGL,SCAT/GT,BURMANM,DE,F33,PLM400    CATT for the teach system,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
32f2efd2-f524-4cec-971e-8e7c2e25aa03,ZT_PLM400_TEST,SCAT/GT,KIRST,DE,EC3,PLM400        Quality Management,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
d92f3a2b-72bf-4d92-9ddb-0d52bb35e53b,ZT_PLM405,SCAT/GT,BURMANM,DE,EC3,PLM405      Quality Inspection,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
efa0621a-0a03-4b6f-98b0-ef95d0d45a3b,ZT_PLM405_01,SCAT/GT,BURMANM,DE,EC3,PLM405    4.7    master data CATT,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
43c12925-f365-44d4-ba73-2a7167eb8fb2,ZT_PLM405_02,SCAT/GT,BURMANM,DE,EC3,PLM405   Teach-CATT,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
25626b37-b144-493b-88b8-244b8ada0faf,ZT_PLM410,SCAT/GT,BURMANM,DE,EC3,PLM410           Quality Notification,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
739f635b-8c0c-4592-aafa-bf99a4896a97,ZT_PLM410_01,SCAT/GT,BURMANM,DE,EC3,PLM410    4.7     master data CATT,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
bf4b3f49-b9c0-48e6-84a5-21cb8d92ed22,ZT_PLM410_02,SCAT/GT,BURMANM,DE,EC3,PLM410   4.7    Quality notification,active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
a6ae73d2-c1b9-4223-9e0e-3bf066d14f12,ZT_PLM410_ENGL,SCAT/GT,BURMANM,DE,F33,PLM410   Translation   (4.7),active,,,,,de584d59-b3ee-49e9-817a-cd89e691ca53
