ID,TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY,PARENT_ID
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHRASR00STEP_ATTRIBUTES_UI_TAB,ZHRASR00STEP_ATTRIBUTES_UI_TAB,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHRPM_WD_T_COMP_RTG,ZHRPM_WD_T_COMP_RTG,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHRPM_WD_T_EMP_DETAILS,ZHRPM_WD_T_EMP_DETAILS,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZINVTAB,ZINVTAB,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMAKTX_TAB,ZMAKTX_TAB,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMATSALTAB,ZMATSALTAB,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAANLE_KEY,ZAANLE_KEY,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAATPCS,ZAATPCS,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZACOMPCOMP,ZACOMPCOMP,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAMCBCOKZ,ZAMCBCOKZ,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAMCCLASSUSR,ZAMCCLASSUSR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAMCIPMCOUSR,ZAMCIPMCOUSR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAMCPARTUSR,ZAMCPARTUSR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAMCVKUSR,ZAMCVKUSR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAPSEKKZ,ZAPSEKKZ,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZBOM_STR,ZBOM_STR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZCREATE_INCIDENT,ZCREATE_INCIDENT,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZDOKAR,ZDOKAR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZFORECAST,ZFORECAST,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZFORECAST2,ZFORECAST2,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHRASR00STEP_ATTRIBUTES_UI,ZHRASR00STEP_ATTRIBUTES_UI,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHRPM_WD_S_COMP_RTG,ZHRPM_WD_S_COMP_RTG,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHRPM_WD_S_EMP_DETAILS,ZHRPM_WD_S_EMP_DETAILS,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZINV_STR,ZINV_STR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMAKTX,ZMAKTX,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMATDESC,ZMATDESC,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMATSALESORDER,ZMATSALESORDER,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMATSAL_STR,ZMATSAL_STR,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZMCLIS,ZMCLIS,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLCRM_TS_OPPORT_DESC,ZOLCRM_TS_OPPORT_DESC,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLCRM_TS_OPPORT_EXT_ID,ZOLCRM_TS_OPPORT_EXT_ID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLCRM_TS_OPPORT_INT_ID,ZOLCRM_TS_OPPORT_INT_ID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLCRM_TS_OPPORT_SHLP,ZOLCRM_TS_OPPORT_SHLP,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLR3_TS_VBAK_DESC,ZOLR3_TS_VBAK_DESC,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLR3_TS_VBAK_EXT_ID,ZOLR3_TS_VBAK_EXT_ID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLR3_TS_VBAK_INT_ID,ZOLR3_TS_VBAK_INT_ID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLR3_TS_VBAK_SHLP,ZOLR3_TS_VBAK_SHLP,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOXID30029,ZOXID30029,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZPO_ITEM,ZPO_ITEM,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZPURCHREQ,ZPURCHREQ,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZSEMBPSB,ZSEMBPSB,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZSSTAB1024,ZSSTAB1024,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZWA_FICOO,ZWA_FICOO,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZWA_FMCIT,ZWA_FMCIT,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZAPPROVAL_LVL,ZAPPROVAL_LVL,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZDRZ,ZDRZ,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZFREWEABSO,ZFREWEABSO,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZFREWEPROZ,ZFREWEPROZ,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZHR_RTGAVG,ZHR_RTGAVG,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLCRM_TV_OPPORT_GUID,ZOLCRM_TV_OPPORT_GUID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLCRM_TV_OPPORT_ID,ZOLCRM_TV_OPPORT_ID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZOLR3_TV_VBAK_VBELN,ZOLR3_TV_VBAK_VBELN,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZS_FLGHTOCC,ZS_FLGHTOCC,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABBASEBALL,ZUSABBASEBALL,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABBCARD,ZUSABBCARD,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABBDATE,ZUSABBDATE,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABCITY,ZUSABCITY,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABDEP,ZUSABDEP,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABDISTRICT,ZUSABDISTRICT,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABEMAIL,ZUSABEMAIL,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABFAX,ZUSABFAX,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABFEMALE,ZUSABFEMALE,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABGOLF,ZUSABGOLF,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABID,ZUSABID,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABMALE,ZUSABMALE,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABNAME,ZUSABNAME,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABPAGER,ZUSABPAGER,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABPHONE,ZUSABPHONE,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABPHONE2,ZUSABPHONE2,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABPRES0,ZUSABPRES0,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABPRES1,ZUSABPRES1,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABPRES2,ZUSABPRES2,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABREGION,ZUSABREGION,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABSTREET,ZUSABSTREET,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZUSABZIPCODE,ZUSABZIPCODE,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZZBMWMABSO,ZZBMWMABSO,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZZBMWMPROZ,ZZBMWMPROZ,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZZDISC,ZZDISC,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZZEIGST,ZZEIGST,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
c7dc2024-b9f7-437f-94a1-1070188c4a24,ZZGARANT,ZZGARANT,DEVC/K,,,,,active,,,,,e647ecf0-6ec2-41aa-9356-128cfbefd329
