TECH_NAME,NAME,TYPE,RESPONSIBLE,MASTER_LANGUAGE,LANGUAGE,MASTER_SYSTEM,DESCRIPTION,VERSION,CHANGED_AT,CHANGED_BY,CREATED_AT,CREATED_BY
96000266,96000266,PDWS/MM,I057085,EN,EN,IDT,HIRE_ZHMX,active,,,,
96000269,96000269,PDWS/MM,PITTEN,EN,EN,IDT,zHRINThireUS,active,,,2011-01-11T23:00:00Z,
96000276,96000276,PDWS/MM,PITTEN,EN,EN,IDT,ASR_DEDUCT2,active,,,2011-11-27T23:00:00Z,
96000278,96000278,PDWS/MM,PITTEN,EN,EN,IDT,ZTermUK,active,,,2011-11-28T23:00:00Z,
97100229,97100229,PDWS/MM,BILDER,EN,EN,DR3,Z_HIRE_BEN,active,,,,
97100230,97100230,PDWS/MM,BILDER,EN,EN,DR3,Z_HIRE_BEN1,active,,,,
97100237,97100237,PDWS/MM,PITTEN,EN,EN,DH3,Transfer(HR),active,,,,
97100239,97100239,PDWS/MM,PITTEN,EN,EN,DH3,Z_CHADDR_US,active,,,,
97100251,97100251,PDWS/MM,I046697,EN,EN,DH3,zzproclaim,active,,,,
97100253,97100253,PDWS/MM,PITTEN,EN,EN,DH3,ASR_DEDUCT,active,,,,
97100287,97100287,PDWS/MM,WEISSANJA,EN,EN,DH3,MIB_JFD_UWL,active,,,,
98000001,98000001,PDWS/MM,MORLEY,EN,EN,EC3,wf_MM_WFL,active,,,,
98000021,98000021,PDWS/MM,SCHLEICHER,DE,EN,EC3,Ybc601_dynbe,active,,,,
98000029,98000029,PDWS/MM,SHEARMAN,EN,EN,EC3,Z-130-US,active,,,,
98000030,98000030,PDWS/MM,RUDISILL,EN,EN,EC3,ZPS001,active,,,,
98000031,98000031,PDWS/MM,RUDISILL,EN,EN,EC3,zcats_tran01,active,,,,
98000032,98000032,PDWS/MM,RUDISILL,EN,EN,EC3,zcats_tran02,active,,,,
98000226,98000226,PDWS/MM,RUDISILL,EN,EN,EC3,Z_ECO,active,,,,
98000249,98000249,PDWS/MM,PITTEN,EN,EN,DL3,ASR_I9,active,,,,
98000260,98000260,PDWS/MM,PITTEN,EN,EN,DL3,ZTermUS - HR,active,,,,
98000291,98000291,PDWS/MM,SCL_ADMIN,EN,EN,EC3,ZWF_CM,active,,,2013-10-29T23:00:00Z,
98000292,98000292,PDWS/MM,SCL_ADMIN,EN,EN,EC3,ZWF_CMP,active,,,2013-10-29T23:00:00Z,
98000294,98000294,PDWS/MM,PITTEN,EN,EN,EC3,TripApproval,active,,,2013-12-02T23:00:00Z,
99500230,99500230,PDWS/MM,BILDER,EN,EN,DE3,Z_COMP_CHG,active,,,,
99500243,99500243,PDWS/MM,PITTEN,EN,EN,DE3,Z_IDES_HIREc,active,,,,
PA9990,PA9990,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9990,active,2016-09-02T14:46:15Z,PITTEN,,
PA9991,PA9991,TABL/DT,PITTEN,EN,EN,M13,HR Master Record: Infotype 9991,active,2016-09-02T14:46:15Z,PITTEN,,
