OBJECT_TYPE,OBJECT_NAME,TECH_NAME,OBJECT_URI,OBJECT_VIT_URI,EXPANDABLE
TABL/DS,/AIN/PRN_FORMAT_RET_STR,/AIN/PRN_FORMAT_RET_STR,/sap/bc/adt/ddic/structures/%2fain%2fprn_format_ret_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRN_FORMAT_RET_STR,
TABL/DS,/AIN/PRN_FORMAT_SRCH_STR,/AIN/PRN_FORMAT_SRCH_STR,/sap/bc/adt/ddic/structures/%2fain%2fprn_format_srch_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRN_FORMAT_SRCH_STR,
TABL/DS,/AIN/PRN_PROF_RETURN_STR,/AIN/PRN_PROF_RETURN_STR,/sap/bc/adt/ddic/structures/%2fain%2fprn_prof_return_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRN_PROF_RETURN_STR,
TABL/DS,/AIN/PRN_PROF_SEARCH_STR,/AIN/PRN_PROF_SEARCH_STR,/sap/bc/adt/ddic/structures/%2fain%2fprn_prof_search_str,/sap/bc/adt/vit/wb/object_type/tablds/object_name/%2fAIN%2fPRN_PROF_SEARCH_STR,
DTEL/DE,/AIN/PRN_JOBNAME,/AIN/PRN_JOBNAME,/sap/bc/adt/ddic/dataelements/%2fain%2fprn_jobname,/sap/bc/adt/vit/wb/object_type/dtelde/object_name/%2fAIN%2fPRN_JOBNAME,
DTEL/DE,/AIN/PRN_LABEL_FORMAT,/AIN/PRN_LABEL_FORMAT,/sap/bc/adt/ddic/dataelements/%2fain%2fprn_label_format,/sap/bc/adt/vit/wb/object_type/dtelde/object_name/%2fAIN%2fPRN_LABEL_FORMAT,
DTEL/DE,/AIN/PRN_QUANTITY,/AIN/PRN_QUANTITY,/sap/bc/adt/ddic/dataelements/%2fain%2fprn_quantity,/sap/bc/adt/vit/wb/object_type/dtelde/object_name/%2fAIN%2fPRN_QUANTITY,
SHLP/DH,/AIN/HPRN_EPC_TYPE_GRAI,/AIN/HPRN_EPC_TYPE_GRAI,/sap/bc/adt/vit/wb/object_type/shlpdh/object_name/%2fAIN%2fHPRN_EPC_TYPE_GRAI,/sap/bc/adt/vit/wb/object_type/shlpdh/object_name/%2fAIN%2fHPRN_EPC_TYPE_GRAI,
SHLP/DH,/AIN/HPRN_EPC_TYPE_GTIN,/AIN/HPRN_EPC_TYPE_GTIN,/sap/bc/adt/vit/wb/object_type/shlpdh/object_name/%2fAIN%2fHPRN_EPC_TYPE_GTIN,/sap/bc/adt/vit/wb/object_type/shlpdh/object_name/%2fAIN%2fHPRN_EPC_TYPE_GTIN,
CLAS/OC,/AIN/CL_IM_PRN_PRF000001,==============================CP,/sap/bc/adt/oo/classes/%2fain%2fcl_im_prn_prf000001,/sap/bc/adt/vit/wb/object_type/clasoc/object_name/%2fAIN%2fCL_IM_PRN_PRF000001,X
